MACHINE BRAND,MACHINE MODEL,MACHINE TYPE,MARKET TYPE,ENGINE BRAND,ENGINE MODEL,Piston Mamked # ,Piston Part #s,OH Kit,ENGINE CODE,DESCRIPTION,PART #,QTY PER ENGINE,ACTIVE?,NOTES
KUBOTA,M8560HDC12,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"GASKET, CYL HEAD, 1 NOTCH, 1.0mm",K1G514-03604,1.0,Y,
KUBOTA,M8560HDC12,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"GASKET, CYL HEAD, NO NOTCH, 1.05mm",K1G514-03614,1.0,Y,
KUBOTA,M8560HDC12,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"GASKET, HEAD GASKET SET, V3800-CRT, 2 NOTCH",K1J574-99356,1.0,Y,
KUBOTA,M8560HDC12,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"GASKET, LOWER GASKET SET, V3800-CRT",K1J574-99363,1.0,Y,
KUBOTA,M8560HDC12,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"GUIDE, VALVE EXHAUST, SEMI-FINISHED, D1105 / V3300 / V3800 / V1505",K16261-13560,16.0,Y,
KUBOTA,M8560HDC12,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"HEAD GASKET, V3800 DI, 2 NOTCH, .90mm",K1G514-03314,1.0,Y,
KUBOTA,M8560HDC12,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"INTAKE VALVE, V3 DI SERIES",K1C020-13110,8.0,Y,
KUBOTA,M8560HDC12,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,KV3800CRT,V3800-CR-T IT4,"KIT, O/H, V3800-CRT, STD",KV3800CRT,1.0,Y,
KUBOTA,M8560HDC12,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,KV3800CRT/50,V3800-CR-T IT4,"KIT, O/H. V3800-CRT, .50mm",KV3800CRT/50,1.0,Y,
KUBOTA,M8560HDC12,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,K1J574-21785,,V3800-CR-T IT4,"KIT, PISTON & RINGS, .50mm, V3800-CRT",K1J574-21785,4.0,Y,
KUBOTA,M8560HDC12,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,K1J574-21775,,V3800-CR-T IT4,"KIT, PISTON & RINGS, STD, V3800-CRT",K1J574-21775,4.0,Y,
KUBOTA,M8560HDC12,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"RING SET, .50mm, V3800 DI",K1J500-21090,4.0,Y,
KUBOTA,M8560HDC12,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"RING SET, STD, V3800 DI",K1J500-21050,4.0,Y,
KUBOTA,M8560HDC12,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"ROTOR ASSEMBLY, OIL PUMP, V3300/V3800",K1C010-35070,1.0,Y,
KUBOTA,M8560HDC12,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"SEAL .REAR CRANK, V3 SERIES",K1C010-04460,1.0,Y,
KUBOTA,M8560HDC12,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"SEAL, FRONT CRANKSHAFT, 07 SERIES",K1C020-04140,1.0,Y,
KUBOTA,M8560HDC12,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"SEAL, VALVE STEM, D1105 / V1505, V3300 / V3800",K1C010-13150,16.0,Y,
KUBOTA,M8560HDC12,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"SPRING, VALVE, V3300/V3800",K1C010-13240,16.0,Y,
KUBOTA,M8560HDC12,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"THERMOSTAT, V3300/V3800-DI",K1C011-73010,1.0,Y,
KUBOTA,M8560HDC12,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"WASHER, THRUST SET, .20mm, V3 SERIES",K1C010-23950/70,1.0,Y,
KUBOTA,M8560HDC12,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"WASHER, THRUST SET, .40mm, V3 SERIES",K1C010-23960/80,1.0,Y,
KUBOTA,M8560HDC12,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"WASHER, THRUST SET, STD, V3 SERIES",K1C010-23530/40,1.0,Y,
KUBOTA,M8560HF,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"BRG, CON ROD PAIR, .20mm, V3 SERIES",K1C020-22962,4.0,Y,
KUBOTA,M8560HF,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"BRG, CON ROD PAIR, .40mm, V3 SERIES",K1C020-22972,4.0,Y,
KUBOTA,M8560HF,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"BRG, CON ROD PAIR, STD, V3 SERIES",K1C020-22312,4.0,Y,
KUBOTA,M8560HF,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"BRG, MAIN PAIR, ..40mm, V3 SERIES",K1C020-23920,5.0,Y,
KUBOTA,M8560HF,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"BRG, MAIN PAIR, .20mm, V3 SERIES",K1C020-23910,5.0,Y,
KUBOTA,M8560HF,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"BRG, MAIN PAIR, STD, V3 SERIES",K1C020-23470,5.0,Y,
KUBOTA,M8560HF,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"EXHAUST VALVE, V3 DI SERIES",K1C020-13120,8.0,Y,
KUBOTA,M8560HF,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"GASKET, CYL HEAD, 1 NOTCH, 1.0mm",K1G514-03604,1.0,Y,
KUBOTA,M8560HF,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"GASKET, CYL HEAD, NO NOTCH, 1.05mm",K1G514-03614,1.0,Y,
KUBOTA,M8560HF,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"GASKET, HEAD GASKET SET, V3800-CRT, 2 NOTCH",K1J574-99356,1.0,Y,
KUBOTA,M8560HF,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"GASKET, LOWER GASKET SET, V3800-CRT",K1J574-99363,1.0,Y,
KUBOTA,M8560HF,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"GUIDE, VALVE EXHAUST, SEMI-FINISHED, D1105 / V3300 / V3800 / V1505",K16261-13560,16.0,Y,
KUBOTA,M8560HF,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"HEAD GASKET, V3800 DI, 2 NOTCH, .90mm",K1G514-03314,1.0,Y,
KUBOTA,M8560HF,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"INTAKE VALVE, V3 DI SERIES",K1C020-13110,8.0,Y,
KUBOTA,M8560HF,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,KV3800CRT,V3800-CR-T IT4,"KIT, O/H, V3800-CRT, STD",KV3800CRT,1.0,Y,
KUBOTA,M8560HF,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,KV3800CRT/50,V3800-CR-T IT4,"KIT, O/H. V3800-CRT, .50mm",KV3800CRT/50,1.0,Y,
KUBOTA,M8560HF,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,K1J574-21785,,V3800-CR-T IT4,"KIT, PISTON & RINGS, .50mm, V3800-CRT",K1J574-21785,4.0,Y,
KUBOTA,M8560HF,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,K1J574-21775,,V3800-CR-T IT4,"KIT, PISTON & RINGS, STD, V3800-CRT",K1J574-21775,4.0,Y,
KUBOTA,M8560HF,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"RING SET, .50mm, V3800 DI",K1J500-21090,4.0,Y,
KUBOTA,M8560HF,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"RING SET, STD, V3800 DI",K1J500-21050,4.0,Y,
KUBOTA,M8560HF,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"ROTOR ASSEMBLY, OIL PUMP, V3300/V3800",K1C010-35070,1.0,Y,
KUBOTA,M8560HF,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"SEAL .REAR CRANK, V3 SERIES",K1C010-04460,1.0,Y,
KUBOTA,M8560HF,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"SEAL, FRONT CRANKSHAFT, 07 SERIES",K1C020-04140,1.0,Y,
KUBOTA,M8560HF,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"SEAL, VALVE STEM, D1105 / V1505, V3300 / V3800",K1C010-13150,16.0,Y,
KUBOTA,M8560HF,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"SPRING, VALVE, V3300/V3800",K1C010-13240,16.0,Y,
KUBOTA,M8560HF,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"THERMOSTAT, V3300/V3800-DI",K1C011-73010,1.0,Y,
KUBOTA,M8560HF,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"WASHER, THRUST SET, .20mm, V3 SERIES",K1C010-23950/70,1.0,Y,
KUBOTA,M8560HF,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"WASHER, THRUST SET, .40mm, V3 SERIES",K1C010-23960/80,1.0,Y,
KUBOTA,M8560HF,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"WASHER, THRUST SET, STD, V3 SERIES",K1C010-23530/40,1.0,Y,
KUBOTA,M8560HFC,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"BRG, CON ROD PAIR, .20mm, V3 SERIES",K1C020-22962,4.0,Y,
KUBOTA,M8560HFC,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"BRG, CON ROD PAIR, .40mm, V3 SERIES",K1C020-22972,4.0,Y,
KUBOTA,M8560HFC,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"BRG, CON ROD PAIR, STD, V3 SERIES",K1C020-22312,4.0,Y,
KUBOTA,M8560HFC,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"BRG, MAIN PAIR, ..40mm, V3 SERIES",K1C020-23920,5.0,Y,
KUBOTA,M8560HFC,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"BRG, MAIN PAIR, .20mm, V3 SERIES",K1C020-23910,5.0,Y,
KUBOTA,M8560HFC,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"BRG, MAIN PAIR, STD, V3 SERIES",K1C020-23470,5.0,Y,
KUBOTA,M8560HFC,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"EXHAUST VALVE, V3 DI SERIES",K1C020-13120,8.0,Y,
KUBOTA,M8560HFC,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"GASKET, CYL HEAD, 1 NOTCH, 1.0mm",K1G514-03604,1.0,Y,
KUBOTA,M8560HFC,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"GASKET, CYL HEAD, NO NOTCH, 1.05mm",K1G514-03614,1.0,Y,
KUBOTA,M8560HFC,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"GASKET, HEAD GASKET SET, V3800-CRT, 2 NOTCH",K1J574-99356,1.0,Y,
KUBOTA,M8560HFC,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"GASKET, LOWER GASKET SET, V3800-CRT",K1J574-99363,1.0,Y,
KUBOTA,M8560HFC,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"GUIDE, VALVE EXHAUST, SEMI-FINISHED, D1105 / V3300 / V3800 / V1505",K16261-13560,16.0,Y,
KUBOTA,M8560HFC,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"HEAD GASKET, V3800 DI, 2 NOTCH, .90mm",K1G514-03314,1.0,Y,
KUBOTA,M8560HFC,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"INTAKE VALVE, V3 DI SERIES",K1C020-13110,8.0,Y,
KUBOTA,M8560HFC,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,KV3800CRT,V3800-CR-T IT4,"KIT, O/H, V3800-CRT, STD",KV3800CRT,1.0,Y,
KUBOTA,M8560HFC,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,KV3800CRT/50,V3800-CR-T IT4,"KIT, O/H. V3800-CRT, .50mm",KV3800CRT/50,1.0,Y,
KUBOTA,M8560HFC,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,K1J574-21785,,V3800-CR-T IT4,"KIT, PISTON & RINGS, .50mm, V3800-CRT",K1J574-21785,4.0,Y,
KUBOTA,M8560HFC,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,K1J574-21775,,V3800-CR-T IT4,"KIT, PISTON & RINGS, STD, V3800-CRT",K1J574-21775,4.0,Y,
KUBOTA,M8560HFC,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"RING SET, .50mm, V3800 DI",K1J500-21090,4.0,Y,
KUBOTA,M8560HFC,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"RING SET, STD, V3800 DI",K1J500-21050,4.0,Y,
KUBOTA,M8560HFC,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"ROTOR ASSEMBLY, OIL PUMP, V3300/V3800",K1C010-35070,1.0,Y,
KUBOTA,M8560HFC,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"SEAL .REAR CRANK, V3 SERIES",K1C010-04460,1.0,Y,
KUBOTA,M8560HFC,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"SEAL, FRONT CRANKSHAFT, 07 SERIES",K1C020-04140,1.0,Y,
KUBOTA,M8560HFC,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"SEAL, VALVE STEM, D1105 / V1505, V3300 / V3800",K1C010-13150,16.0,Y,
KUBOTA,M8560HFC,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"SPRING, VALVE, V3300/V3800",K1C010-13240,16.0,Y,
KUBOTA,M8560HFC,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"THERMOSTAT, V3300/V3800-DI",K1C011-73010,1.0,Y,
KUBOTA,M8560HFC,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"WASHER, THRUST SET, .20mm, V3 SERIES",K1C010-23950/70,1.0,Y,
KUBOTA,M8560HFC,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"WASHER, THRUST SET, .40mm, V3 SERIES",K1C010-23960/80,1.0,Y,
KUBOTA,M8560HFC,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"WASHER, THRUST SET, STD, V3 SERIES",K1C010-23530/40,1.0,Y,
KUBOTA,M9960HD,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"BRG, CON ROD PAIR, .20mm, V3 SERIES",K1C020-22962,4.0,Y,
KUBOTA,M9960HD,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"BRG, CON ROD PAIR, .40mm, V3 SERIES",K1C020-22972,4.0,Y,
KUBOTA,M9960HD,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"BRG, CON ROD PAIR, STD, V3 SERIES",K1C020-22312,4.0,Y,
KUBOTA,M9960HD,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"BRG, MAIN PAIR, ..40mm, V3 SERIES",K1C020-23920,5.0,Y,
KUBOTA,M9960HD,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"BRG, MAIN PAIR, .20mm, V3 SERIES",K1C020-23910,5.0,Y,
KUBOTA,M9960HD,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"BRG, MAIN PAIR, STD, V3 SERIES",K1C020-23470,5.0,Y,
KUBOTA,M9960HD,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"EXHAUST VALVE, V3 DI SERIES",K1C020-13120,8.0,Y,
KUBOTA,M9960HD,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"GASKET, CYL HEAD, 1 NOTCH, 1.0mm",K1G514-03604,1.0,Y,
KUBOTA,M9960HD,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"GASKET, CYL HEAD, NO NOTCH, 1.05mm",K1G514-03614,1.0,Y,
KUBOTA,M9960HD,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"GASKET, HEAD GASKET SET, V3800-CRT, 2 NOTCH",K1J574-99356,1.0,Y,
KUBOTA,M9960HD,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"GASKET, LOWER GASKET SET, V3800-CRT",K1J574-99363,1.0,Y,
KUBOTA,M9960HD,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"GUIDE, VALVE EXHAUST, SEMI-FINISHED, D1105 / V3300 / V3800 / V1505",K16261-13560,16.0,Y,
KUBOTA,M9960HD,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"HEAD GASKET, V3800 DI, 2 NOTCH, .90mm",K1G514-03314,1.0,Y,
KUBOTA,M9960HD,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"INTAKE VALVE, V3 DI SERIES",K1C020-13110,8.0,Y,
KUBOTA,M9960HD,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,KV3800CRT,V3800-CR-T IT4,"KIT, O/H, V3800-CRT, STD",KV3800CRT,1.0,Y,
KUBOTA,M9960HD,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,KV3800CRT/50,V3800-CR-T IT4,"KIT, O/H. V3800-CRT, .50mm",KV3800CRT/50,1.0,Y,
KUBOTA,M9960HD,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,K1J574-21785,,V3800-CR-T IT4,"KIT, PISTON & RINGS, .50mm, V3800-CRT",K1J574-21785,4.0,Y,
KUBOTA,M9960HD,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,K1J574-21775,,V3800-CR-T IT4,"KIT, PISTON & RINGS, STD, V3800-CRT",K1J574-21775,4.0,Y,
KUBOTA,M9960HD,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"RING SET, .50mm, V3800 DI",K1J500-21090,4.0,Y,
KUBOTA,M9960HD,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"RING SET, STD, V3800 DI",K1J500-21050,4.0,Y,
KUBOTA,M9960HD,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"ROTOR ASSEMBLY, OIL PUMP, V3300/V3800",K1C010-35070,1.0,Y,
KUBOTA,M9960HD,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"SEAL .REAR CRANK, V3 SERIES",K1C010-04460,1.0,Y,
KUBOTA,M9960HD,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"SEAL, FRONT CRANKSHAFT, 07 SERIES",K1C020-04140,1.0,Y,
KUBOTA,M9960HD,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"SEAL, VALVE STEM, D1105 / V1505, V3300 / V3800",K1C010-13150,16.0,Y,
KUBOTA,M9960HD,TRACTOR,AGRICULTURE,Kubota,V3800-CR-T,,,,V3800-CR-T IT4,"SPRING, VALVE, V3300/V3800",K1C010-13240,16.0,Y,
